figure_file,owner,section,source_notebook,source_table,qa_status,last_verified_by,notes
headway_comparison.png,Ahmed,comparison,0.1-ahmed-pr2-comparison,ywg_route_schedule_comparison_metrics,pending,,
speed_trips_comparison.png,Ahmed,comparison,0.1-ahmed-pr2-comparison,ywg_route_schedule_comparison_metrics,pending,,
employment_access_change.png,Ahmed,comparison,0.1-ahmed-pr2-comparison,ywg_neighbourhood_jobs_access_metrics,pending,,
capacity_stress_scatter.png,Ahmed,capacity,0.4-ahmed-pr2-capacity,ywg_route_schedule_metrics,pending,,
upgrade_priority.png,Ahmed,capacity,0.4-ahmed-pr2-capacity,ywg_route_schedule_metrics,pending,,
reliability_by_tier.png,Ahmed,capacity,0.4-ahmed-pr2-capacity,ywg_route_schedule_metrics,pending,,
network_metrics_prepost.png,Cathy,network,1.2-cathy-pr2-network,ywg_stop_connection_counts,pending,,
transfer_heatmap.png,Cathy,network,1.2-cathy-pr2-network,ywg_stop_connection_counts,pending,,
coverage_change_map.png,Sudipta,coverage,1.3-sudipta-pr2-coverage,ywg_neighbourhood_stop_count_density,pending,,
underserved_neighbourhoods.png,Sudipta,coverage,1.3-sudipta-pr2-coverage,ywg_neighbourhood_stop_count_density,pending,,
pr2_summary_panel.png,Stephenie,visualization,2.1-stephenie-pr2-viz,ywg_route_schedule_comparison_metrics,pending,,
coverage_cluster_map.png,Stephenie,visualization,2.1-stephenie-pr2-viz,ywg_neighbourhood_stop_count_density,pending,,
network_communities_pr2.png,Stephenie,visualization,2.1-stephenie-pr2-viz,ywg_stop_connection_counts,pending,,
