neighbourhood,area_km2,stop_count,stops_per_km2
West Perimeter South,4.801803224898683,0,0.0
Wilkes South,23.36610140092678,0,0.0
Griffin,0.605692832476554,0,0.0
Turnbull Drive,1.0963287625996265,0,0.0
Armstrong Point,0.26578120304624686,0,0.0
North Transcona Yards,0.8713734796890904,0,0.0
Maple Grove Park,1.0180898591000456,0,0.0
Trappistes,6.4177523265744325,0,0.0
St. Vital Perimeter South,36.81561635928798,0,0.0
Saskatchewan North,13.738621138274274,0,0.0
Perrault,1.9611521760185204,0,0.0
Assiniboia Downs,3.910789974749929,0,0.0
Kensington,0.10524863177964935,0,0.0
Kil-Cona Park,2.8648757115506123,0,0.0
Cloutier Drive,0.8205531217935154,0,0.0
La Barriere,14.876204506029824,0,0.0
Rosser-Old Kildonan,15.983132354158904,1,0.0625659587771476
Symington Yards,3.7069736079140125,1,0.2697618342534464
Transcona North,1.9059868172999446,1,0.5246626004562918
Assiniboine Park,4.81836746579652,5,1.0376958659738615
Ridgewood South,3.055065932148244,4,1.3093007119448001
River West Park,0.7633619726944689,1,1.309994518681957
Transcona South,5.697757271867518,8,1.4040612153662155
The Mint,0.6944379447824895,1,1.4400134778251756
Woodhaven,0.6009577369427959,1,1.6640105260766254
Airport,10.339470871719685,18,1.7409014661701152
Bridgwater Lakes,1.9416654131971638,5,2.575108958534187
Niakwa Park,0.7505830967564485,2,2.6645950443631774
Kingston Crescent,0.7176504672135174,2,2.7868720099431834
Normand Park,1.0422131361218374,3,2.878489913457867
Southland Park,2.7406828076304226,8,2.9189806196203896
Kildonan Park,0.9664433204915122,3,3.104165486367338
Waverley West B,1.9077327476534203,6,3.145094619453493
St. Boniface Industrial Park,5.540396167246392,18,3.248865145494839
Kirkfield,1.9845687235795055,7,3.5272147126123783
West Kildonan Industrial,2.2293073633358325,8,3.5885585503244246
Transcona Yards,3.4057339781749434,13,3.8170920228380285
Tyne-Tees,1.2828627305901057,5,3.897533134897483
Tuxedo Industrial,6.625916535590544,26,3.923985438141761
North Inkster Industrial,2.7443668082275305,12,4.3725933297343325
Archwood,0.9110618988554688,4,4.3904810474733305
Dufferin Industrial,0.4416537968386181,2,4.528433841882734
Springfield South,0.6440793943252585,3,4.657810863741136
Glenwood,1.6268127126000518,8,4.917591274052689
Tuxedo,2.354578646607402,12,5.096453251748553
Sage Creek,4.084805975825654,21,5.141003054803676
Wellington Crescent,0.971148062566985,5,5.148545513012466
North River Heights,1.7244896167222268,9,5.21893545355552
Dugald,1.5312466976792811,8,5.224501063169376
Victoria Crescent,0.7632388927063476,4,5.240823074170803
Jameswood,0.7497258405037611,4,5.335283624894523
Stock Yards,1.650450869747011,9,5.453055383211475
Eric Coy,2.0000626285744474,11,5.499827776813316
Lavalee,0.5318446939689069,3,5.640744439156496
Seven Oaks,1.2254092306496254,7,5.7123774041502
Murray Industrial Park,1.5392911030563463,9,5.846847280628083
Eaglemere,0.8103984759461692,5,6.169804298018109
Vista,0.4850888821358689,3,6.1844336377920275
Glendale,1.2468369830082386,8,6.416235730109987
Weston Shops,1.713989281519593,11,6.417776422876806
